Figure,en,de,fr,it
1,SNSF (2021-2024),SNF (2021-2024),FNS (2021-2024),FNS (2021-2024)
1,ERC (2017-2020),ERC (2017-2020),CER (2017-2020),ERC (2017-2020)
1,Postdoctoral Fellowships/MSCA,Postdoctoral Fellowships/MSCA,Postdoctoral Fellowships/AMSC,Postdoctoral Fellowships/AMSC
1,Starting Grants,Starting Grants,Starting Grants,Starting Grants
1,Advanced Grants,Advanced Grants,Advanced Grants,Advanced Grants
1,Consolidator Grants,Consolidator Grants,Consolidator Grants,Consolidator Grants
1,Requested,Gesuche,Demandes,Richieste
1,Granted,Beiträge,Subsides,Sovvenzioni
1,Number of requests and grants,Anzahl Gesuche und Beiträge,Nombre de demandes et de subsides,Numero di richieste e sovvenzioni
2,SNSF (2021-2024),SNF (2021-2024),FNS (2021-2024),FNS (2021-2024)
2,ERC (2017-2020),ERC (2017-2020),CER (2017-2020),ERC (2017-2020)
2,ETH Zurich,ETH Zürich,EPF Zurich,ETH di Zurigo
2,University of Zurich,Universität Zürich,Université de Zurich,Università di Zurigo
2,EPF Lausanne,EPF Lausanne,EPF Lausanne,EPF di Losanna
2,University of Lausanne,Universität Lausanne,Université de Lausanne,Università di Losanna
2,University of Geneva,Universität Genf,Université de Genève,Università di Ginevra
2,University of Bern,Universität Bern,Université de Berne,Università di Berna
2,Total amount approuved,Total Beiträge,Total des financements approuvés,Totale dei finanziamenti approvati
2,Million,Mio. CHF,mio CHF,min di CHF
3,SSH/SH,GSW/SH,SHS/SH,SHS/SH
3,MINT/PE,MINT/PE,MINT/PI,MINT/PE
3,LS,LW/LS,SV,LS
3,SNSF (2021-2024),SNF (2021-2024),FNS (2021-2024),FNS (2021-2024)
3,ERC (2017-2020),ERC (2017-2020),CER (2017-2020),ERC (2017-2020)
3,Requests,Gesuche,Demandes,Richieste
3,Grants,Beiträge,Subsides,Sovvenzioni
3,Share of requests and grants by domain,Anteil Gesuche/Beiträge nach Bereich,Part de demandes et subsides par domaines,Quota di richieste e sovvenzioni per ogni ambito
4,Marie Sklodowska Curie Actions,Marie Sklodowska Curie Actions,Actions Marie Sklodowska Curie,Azioni Marie Sklodowska Curie
4,SNSF Swiss Postdoctoral Fellowships,SNSF Swiss Postdoctoral Fellowships,SNSF Swiss Postdoctoral Fellowships,SNSF Swiss Postdoctoral Fellowships
4,Requested,Gesuche,Demandes,Richieste
4,Granted,Beiträge,Subsides,Sovvenzioni
4,success,Erfolgsquote,de succès,approvate
4,Number of requests and grants,Anzahl Gesuche und Beiträge,Nombre de demandes et de subsides,Numero di richieste e sovvenzioni
