instrument,call_year,research_domain,n_requested,n_granted,success_rate,amount_granted,n_male,n_female,n_non_binary
SNSF Swiss Postdoctoral Fellowships,2021,LS,306,30,0.09803921568627451,7386433,15,15,0
SNSF Swiss Postdoctoral Fellowships,2021,MINT,327,32,0.09785932721712538,7886809,21,11,0
SNSF Swiss Postdoctoral Fellowships,2021,SSH,128,12,0.09375,2864537,7,5,0
SNSF Swiss Postdoctoral Fellowships,2022,LS,180,31,0.17222222222222222,7722513,12,19,0
SNSF Swiss Postdoctoral Fellowships,2022,MINT,221,37,0.167420814479638,8939980,30,7,0
SNSF Swiss Postdoctoral Fellowships,2022,SSH,130,22,0.16923076923076924,5550325,7,15,0
SNSF Swiss Postdoctoral Fellowships,2023,LS,257,17,0.06614785992217899,4139026,11,5,1
SNSF Swiss Postdoctoral Fellowships,2023,MINT,325,20,0.06153846153846154,4945972,11,9,0
SNSF Swiss Postdoctoral Fellowships,2023,SSH,167,11,0.0658682634730539,2745716,8,3,0
SNSF Swiss Postdoctoral Fellowships,2024,LS,272,25,0.09191176470588236,5910541,13,11,1
SNSF Swiss Postdoctoral Fellowships,2024,MINT,327,30,0.09174311926605505,7433967,23,6,1
SNSF Swiss Postdoctoral Fellowships,2024,SSH,194,17,0.08762886597938144,4410115,5,12,0
SNSF Starting Grants,2022,LS,150,21,0.14,36529385,11,10,0
SNSF Starting Grants,2022,MINT,167,23,0.1377245508982036,39281711,15,8,0
SNSF Starting Grants,2022,SSH,129,18,0.13953488372093023,29349527,10,8,0
SNSF Starting Grants,2023,LS,154,23,0.14935064935064934,40961187,9,14,0
SNSF Starting Grants,2023,MINT,154,20,0.12987012987012986,34258249,6,14,0
SNSF Starting Grants,2023,SSH,146,24,0.1643835616438356,41730055,8,16,0
SNSF Starting Grants,2024,LS,149,20,0.1342281879194631,34736617,7,13,0
SNSF Starting Grants,2024,MINT,173,18,0.10404624277456648,31750949,9,9,0
SNSF Starting Grants,2024,SSH,186,23,0.12365591397849462,38939504,6,17,0
SNSF Advanced Grants,2021,LS,90,10,0.1111111111111111,22185831,6,4,0
SNSF Advanced Grants,2021,MINT,103,10,0.0970873786407767,21132118,8,2,0
SNSF Advanced Grants,2021,SSH,39,4,0.10256410256410256,7214252,0,4,0
SNSF Advanced Grants,2022,LS,31,6,0.1935483870967742,14190964,5,1,0
SNSF Advanced Grants,2022,MINT,37,7,0.1891891891891892,16291733,7,0,0
SNSF Advanced Grants,2022,SSH,25,5,0.2,10401482,3,2,0
SNSF Advanced Grants,2024,LS,61,5,0.08196721311475409,10134907,4,1,0
SNSF Advanced Grants,2024,MINT,60,6,0.1,12498336,5,1,0
SNSF Advanced Grants,2024,SSH,60,5,0.08333333333333333,8610413,2,3,0
SNSF Consolidator Grants,2022,LS,45,8,0.17777777777777778,15157758,6,2,0
SNSF Consolidator Grants,2022,MINT,74,13,0.17567567567567569,23641801,9,4,0
SNSF Consolidator Grants,2022,SSH,64,10,0.15625,16783566,2,8,0
SNSF Consolidator Grants,2023,LS,54,5,0.09259259259259259,10226465,2,3,0
SNSF Consolidator Grants,2023,MINT,79,7,0.08860759493670886,13092824,7,0,0
SNSF Consolidator Grants,2023,SSH,76,7,0.09210526315789473,12112179,4,3,0
